playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,postHomeRuns,postHits,postPitchingStrikeOuts,postTotalWins,postFielderPutouts,class
stonest01,1,3,340,0,22,1065,107,125,0,0,2,0,0,False
stottme01,5,1,366,7,120,1257,164,242,0,1,12,1,2,False
smithlo01,1,1,1613,98,1488,NULL,NULL,2388,4,57,NULL,NULL,52,False
smithoz01,15,23,2573,28,2460,NULL,NULL,4249,1,34,NULL,NULL,67,True
stewada01,1,6,523,0,10,1741,168,197,0,0,73,10,9,False
stiebda01,7,2,454,0,0,1669,176,272,0,0,28,1,1,False
tebeapa01,0,0,1167,27,1290,0,0,7018,0,0,NULL,NULL,NULL,False
thompsa01,0,0,1410,126,1988,NULL,NULL,2174,2,21,NULL,NULL,NULL,True
tiernmi01,0,0,1478,106,1838,3,1,2103,2,24,NULL,NULL,NULL,False
sullibi03,0,2,1148,21,777,NULL,NULL,4810,0,0,NULL,NULL,35,False
thomair01,0,3,487,3,327,NULL,NULL,2136,0,6,NULL,NULL,67,False
tinkejo01,0,0,1809,31,1690,NULL,NULL,3826,1,16,NULL,NULL,44,True
toneyfr01,0,0,336,3,118,718,139,57,0,0,1,0,0,False
terrybi01,3,12,1720,154,2193,NULL,NULL,15999,2,18,NULL,NULL,138,True
theveto01,0,0,1229,2,1030,NULL,NULL,2308,1,10,NULL,NULL,10,False
traynpi01,2,26,1941,58,2416,NULL,NULL,2390,1,12,NULL,NULL,11,True
uhlege01,0,5,723,9,393,1135,200,175,0,0,3,0,0,False
tebbebi01,4,3,1162,38,1000,NULL,NULL,4667,0,0,NULL,NULL,13,False
tobinji01,1,0,396,17,183,498,105,103,0,0,0,0,0,False
troutdi01,2,3,535,20,205,1256,170,193,0,1,10,1,2,False
truckvi01,2,0,517,2,171,1534,177,156,0,0,7,1,1,False
turneji01,1,2,238,1,87,329,69,55,0,0,4,0,0,False
tayloto02,2,0,2195,75,2007,NULL,NULL,4241,0,2,NULL,NULL,5,False
thomsbo01,3,0,1779,264,1705,NULL,NULL,3800,0,5,NULL,NULL,13,False
torgeea01,0,0,1668,149,1318,NULL,NULL,11684,0,7,NULL,NULL,44,False
suttodo01,4,3,785,0,195,3574,324,334,0,2,61,6,5,True
tenacge01,1,2,1555,201,1060,NULL,NULL,8731,4,18,NULL,NULL,248,False
tiantlu01,3,1,573,5,84,2416,229,221,0,2,20,3,0,False
tidrodi01,0,0,620,0,9,975,100,97,0,0,14,1,2,False
tolanbo01,0,2,1282,86,1121,NULL,NULL,2915,2,21,NULL,NULL,34,False
torremi01,0,0,499,0,64,1404,185,223,0,0,20,2,3,False
tovarce01,0,0,1488,46,1546,1,0,2686,0,7,NULL,NULL,19,False
summech01,0,0,698,54,350,NULL,NULL,508,0,0,NULL,NULL,NULL,False
sundbji01,3,8,1962,95,1493,NULL,NULL,9773,1,10,NULL,NULL,88,False
sutclri01,3,8,466,4,102,1679,171,211,1,4,12,1,0,False
suttebr01,6,10,661,0,9,861,68,90,0,0,7,2,0,True
tananfr01,3,2,639,0,9,2773,240,226,0,0,4,0,0,False
tekulke01,1,0,1050,0,10,779,94,93,0,0,14,0,1,False
templga01,3,5,2079,70,2096,NULL,NULL,3551,0,11,NULL,NULL,27,False
thomago01,1,1,1436,268,1051,NULL,NULL,2954,2,6,NULL,NULL,40,False
trammal01,6,11,2293,185,2365,NULL,NULL,3448,3,17,NULL,NULL,15,True
trillma01,4,9,1780,61,1562,NULL,NULL,3977,0,16,NULL,NULL,44,False
tudorjo01,0,1,289,0,59,988,117,85,0,0,44,5,1,False
wardjo01,0,0,1827,26,2107,920,164,3325,0,26,NULL,NULL,NULL,True
welchmi01,0,0,607,12,492,1850,307,265,0,3,3,1,NULL,True
whitede01,0,0,1560,24,2067,3,0,4651,0,12,NULL,NULL,NULL,True
willine01,0,0,1201,64,1159,7,1,1589,0,3,2,0,NULL,False
wagneho01,0,12,2798,101,3420,6,0,7940,0,14,NULL,NULL,25,True
walshed01,0,8,462,3,210,1736,195,237,0,0,17,2,0,True
willivi01,0,1,531,1,248,1651,249,389,0,0,3,0,1,True
wiltsho01,0,0,377,2,156,965,139,162,0,0,2,0,15,False
vanceda01,0,11,442,7,146,2045,197,126,0,0,3,0,0,True
veachbo01,0,0,1823,64,2063,0,0,3754,0,0,NULL,NULL,NULL,False
