playerID,allStarCount,awardsCount,totalGames,totalHomeRuns,totalHits,totalPitchingStrikeOuts,totalPitchWins,totalFielderPutouts,eligible,class
burgoen01,0,0,10,0,0,18,0,0,0,False
burkejo03,2,0,446,0,50,1766,166,177,1,False
burketi01,1,0,498,0,2,444,49,36,0,False
burnsto02,0,0,203,0,0,252,21,29,0,False
burttde01,0,0,8,0,0,10,2,1,0,False
bushich01,0,0,6,0,0,3,0,0,0,False
butchmi01,0,0,115,0,0,96,11,7,0,False
cadargr01,0,0,451,0,0,539,38,43,1,False
calhoje01,0,0,118,0,0,104,6,12,0,False
campbji03,0,0,2,0,0,2,1,1,0,False
campbke01,0,0,77,0,0,83,4,6,0,False
campbmi01,0,0,51,0,5,135,12,17,0,False
cangejo01,0,0,1038,12,501,0,0,990,1,False
canojo01,0,0,6,0,0,8,1,2,0,False
cansejo01,6,11,1887,462,1877,0,0,2003,1,True
capelmi01,0,0,49,0,0,43,3,7,0,False
carpecr01,0,0,291,0,8,252,27,25,0,False
carream01,0,0,3,0,0,2,0,0,0,False
carteje01,0,0,5,0,0,2,0,0,0,False
cartela01,0,0,6,0,2,21,1,4,0,False
carych01,0,0,134,0,0,322,14,18,0,False
casiala01,0,0,245,0,0,125,11,17,0,False
castifr01,0,0,297,0,37,1101,82,102,1,False
castito02,0,0,403,0,1,333,28,33,1,False
cecenjo01,0,0,22,0,0,27,0,1,0,False
cerutjo01,0,0,229,0,0,398,49,54,0,False
chadwra01,0,0,7,0,0,9,0,3,0,False
chapida01,0,0,4,0,0,6,0,0,0,False
charlno01,1,0,608,0,8,808,51,42,1,False
chiamsc01,0,0,15,0,0,40,2,5,0,False
childro01,0,0,61,0,2,65,2,3,0,False
chitrst01,0,0,64,0,0,66,2,2,0,False
chriscl01,0,0,24,0,0,27,2,5,0,False
chrismi02,0,0,71,0,0,76,5,6,0,False
ciardma01,0,0,4,0,0,8,1,0,0,False
citarra01,0,0,21,0,1,28,0,1,0,False
clarkma01,0,0,219,1,14,728,74,57,0,False
clarkst02,0,0,50,0,0,36,3,1,0,False
clarkte01,0,0,91,0,2,109,10,22,0,False
claryma01,0,0,58,0,5,81,5,16,0,False
clayda02,0,0,17,0,0,12,0,1,0,False
clemepa01,0,0,288,0,1,158,17,22,0,False
clemero02,11,22,709,0,31,4672,354,320,1,True
clibust02,0,0,86,0,0,91,13,15,0,False
cluttbr01,0,0,34,0,0,67,2,9,0,False
browsc01,0,0,59,0,0,58,3,12,0,False
brumldu01,0,0,2,0,0,4,0,0,0,False
bruneju01,0,0,4,0,1,2,0,0,0,False
brunswi01,0,0,27,0,0,11,1,0,0,False
bruskji01,0,0,106,0,1,95,9,8,0,False
buckega02,0,0,10,0,0,9,0,2,0,False
buddimi01,0,0,87,0,1,76,5,14,0,False
buehrma01,5,4,518,1,9,1870,214,182,1,True
bulliki01,0,0,49,0,0,22,2,6,0,False
bunchme01,0,0,18,0,0,23,1,2,0,False
burkeja02,0,0,191,3,108,0,0,788,0,False
burkejo04,0,0,29,0,4,58,4,6,0,False
burneaj01,1,0,436,4,56,2513,164,169,1,True
burrote01,0,0,50,0,0,35,4,6,0,False
busbymi01,0,0,45,0,3,50,5,4,0,False
butlead01,0,0,8,0,0,7,0,0,0,False
byrdati01,0,0,479,0,2,326,13,18,1,False
byrdpa01,1,0,346,0,24,923,109,112,1,False
cabrejo01,0,0,198,0,2,192,19,15,0,False
cairnca01,0,0,15,0,0,8,1,0,0,False
callami01,0,0,41,0,2,86,4,14,0,False
cammaer01,0,0,8,0,1,9,0,1,0,False
carlsda01,0,0,23,0,0,37,1,3,0,False
carlybu01,0,0,151,0,10,232,13,19,1,False
carmora01,0,0,81,0,0,96,11,13,0,False
carpech01,3,3,350,2,52,1697,144,185,1,True
carragi01,0,0,313,0,3,338,29,33,1,False
carrahe01,0,0,647,0,1,662,44,50,1,False
cartean01,0,0,24,0,1,24,0,1,0,False
cartela02,1,0,181,0,0,127,13,10,0,False
castica02,0,0,111,0,1,130,10,8,0,False
castiju02,0,0,2,0,1,1,0,3,0,False
cathemi01,0,0,75,0,0,62,5,1,0,False
chacosh01,1,0,269,1,30,619,45,60,0,False
chavean01,0,0,7,0,0,10,0,0,0,False
checoro01,0,0,16,0,1,30,3,0,0,False
chenbr01,0,0,401,0,19,1140,82,62,1,False
chiassc01,0,0,10,0,0,9,1,1,0,False
choatra01,0,0,672,0,0,348,16,33,1,False
choji01,0,0,13,0,0,31,2,4,0,False
chouibo01,0,0,111,0,1,110,11,11,0,False
chrisja01,0,0,529,0,1,384,27,15,1,False
christi01,0,0,1,0,0,2,0,0,0,False
cimorfr01,0,0,11,0,0,1,0,1,0,False
cirilje01,2,0,1617,112,1598,1,0,1371,1,True
clemema01,1,0,239,0,33,1217,87,125,0,False
clemoch01,0,0,5,0,0,8,0,1,0,False
clontbr01,0,0,272,0,0,210,22,10,0,False
cloudke01,0,0,71,0,0,195,16,19,0,False
broxtjo01,2,0,694,0,0,758,43,37,1,False
brunebr01,0,0,273,0,0,252,19,8,0,False
buchhcl01,2,0,238,0,4,1024,90,141,0,False
buchhta01,0,0,159,0,5,229,20,28,0,False
bucknbi02,0,0,44,0,6,114,7,9,0,False
buenofr01,0,0,56,0,0,33,2,7,0,False
bukviry01,0,0,97,0,0,62,3,4,0,False
bulgeja01,0,0,125,0,0,138,7,13,0,False
bullibr01,0,0,26,0,1,54,1,8,0,False
bumpna01,0,0,113,0,1,79,6,7,0,False
burgoam01,0,0,144,0,0,156,8,2,0,False
burnese01,0,0,380,0,2,277,15,39,1,False
burnsmi01,0,0,60,0,1,75,3,11,0,False
burrebr01,0,0,106,0,4,224,18,13,0,False
burrose01,0,0,528,12,463,0,0,345,1,False
burtoja01,0,0,367,0,0,305,18,24,0,False
bushda01,0,0,221,0,34,768,56,94,0,False
bynummi01,0,0,29,0,3,52,2,4,0,False
cabreas01,2,1,1822,195,1763,0,0,2538,0,False
cabreda01,0,0,162,0,0,674,48,38,0,False
cabrefe01,0,0,132,0,0,193,8,9,0,False
cainma01,3,0,349,7,74,1694,104,131,1,True
calerki01,0,0,313,0,1,324,14,12,0,False
calica01,0,0,40,0,0,27,0,2,0,False
camerke01,0,0,69,0,0,70,2,9,0,False
campbbr02,0,0,4,0,0,4,0,0,0,False
campijo01,0,0,52,0,8,121,9,13,0,False
campsh01,0,0,541,0,1,403,29,44,1,False
capeljo01,0,0,99,0,0,98,5,2,0,False
cappsma01,1,0,444,0,1,319,29,18,0,False
capuach01,1,0,321,1,46,1199,77,55,1,False
carlsje01,0,0,162,0,0,114,8,14,0,False
carmofa01,1,0,270,0,4,833,71,115,1,False
carpean01,0,0,23,0,0,33,1,2,0,False
carradj01,0,0,290,0,0,315,24,40,0,False
carroja01,0,0,1276,13,1000,0,0,1424,1,False
carvama01,0,0,42,0,1,49,0,6,0,False
cashke01,0,0,246,12,117,0,0,1250,0,False
casseja01,0,0,15,0,3,25,2,2,0,False
cassisc01,0,0,111,0,0,109,8,2,0,False
castial02,0,0,79,0,0,48,3,7,0,False
castrfa01,0,0,30,0,0,32,0,1,0,False
catetr01,0,0,14,0,0,12,0,2,0,False
cavazan01,0,0,17,0,0,15,0,0,0,False
cerdaja01,0,0,132,0,0,91,3,8,0,False
cerroju01,0,0,11,0,0,9,0,2,0,False
